"year","type","movieNum"
"1918","International","2"
"1919","Arthouse","4"
"1919","Comedy","2"
"1919","Drama","4"
"1919","International","2"
"1919","Science Fiction","2"
"1920","Arthouse","2"
"1920","Comedy","4"
"1920","Drama","2"
"1920","Horror","1"
"1920","International","2"
"1921","Adventure","2"
"1921","Arthouse","1"
"1921","Drama","2"
"1921","Historical","1"
"1921","International","1"
"1922","Action","2"
"1922","Adventure","2"
"1922","Arthouse","3"
"1922","Documentary","2"
"1922","Drama","5"
"1922","Science Fiction","1"
"1922","Western","2"
"1923","Classics","1"
"1923","Comedy","1"
"1923","Drama","3"
"1923","Horror","1"
"1924","Action","2"
"1924","Adventure","3"
"1924","Arthouse","4"
"1924","Comedy","2"
"1924","Drama","2"
"1924","Fantasy","2"
"1924","Horror","2"
"1924","International","2"
"1924","Suspense","2"
"1925","Action","6"
"1925","Adventure","3"
"1925","Comedy","1"
"1925","Drama","8"
"1925","Fantasy","1"
"1925","Horror","3"
"1925","Kids","1"
"1925","Romance","2"
"1925","Science Fiction","2"
"1926","Drama","2"
"1927","and Culture","1"
"1927","Arthouse","2"
"1927","Arts","1"
"1927","Comedy","4"
"1927","Drama","8"
"1927","Entertainment","1"
"1927","Science Fiction","1"
"1927","Suspense","2"
"1928","Arthouse","4"
"1928","Comedy","2"
"1928","Drama","9"
"1929","Action","6"
"1929","Adventure","4"
"1929","and Culture","2"
"1929","Arthouse","4"
"1929","Arts","2"
"1929","Drama","8"
"1929","Entertainment","2"
"1929","Horror","2"
"1929","International","2"
"1929","Military and War","2"
"1929","Romance","2"
"1929","Suspense","2"
"1930","Action","3"
"1930","Adventure","2"
"1930","and Culture","4"
"1930","Arthouse","6"
"1930","Arts","4"
"1930","Comedy","5"
"1930","Drama","17"
"1930","Entertainment","4"
"1930","Kids","2"
"1930","Military and War","2"
"1930","Science Fiction","2"
"1930","Suspense","7"
"1931","Action","3"
"1931","Adventure","2"
"1931","Comedy","6"
"1931","Drama","23"
"1931","Horror","4"
"1931","John Wayne Store","1"
"1931","Kids","2"
"1931","Military and War","2"
"1931","Romance","1"
"1931","Suspense","8"
"1931","Western","2"
"1932","Action","4"
"1932","Adventure","4"
"1932","Comedy","7"
"1932","Drama","21"
"1932","Fantasy","2"
"1932","Genre for Featured Categories","2"
"1932","Horror","13"
"1932","Military and War","2"
"1932","Romance","1"
"1932","Science Fiction","2"
"1932","Suspense","17"
"1932","Western","2"
"1933","Action","6"
"1933","Adventure","7"
"1933","and Culture","5"
"1933","Arts","5"
"1933","Comedy","13"
"1933","Drama","13"
"1933","Entertainment","5"
"1933","Fantasy","2"
"1933","Genre for Featured Categories","1"
"1933","Horror","5"
"1933","Independently Distributed","1"
"1933","Kids","4"
"1933","Military and War","1"
"1933","Suspense","3"
"1933","Western","4"
"1934","Action","6"
"1934","Adventure","1"
"1934","and Culture","3"
"1934","Arts","3"
"1934","Comedy","15"
"1934","Drama","29"
"1934","Entertainment","3"
"1934","Fantasy","2"
"1934","Horror","3"
"1934","Independently Distributed","5"
"1934","Military and War","2"
"1934","Romance","3"
"1934","Suspense","8"
"1934","Western","12"
"1935","Action","14"
"1935","Adventure","8"
"1935","and Culture","9"
"1935","Arts","9"
"1935","Comedy","20"
"1935","Drama","23"
"1935","Entertainment","9"
"1935","Genre for Featured Categories","1"
"1935","Horror","4"
"1935","Independently Distributed","8"
"1935","Kids","2"
"1935","Romance","5"
"1935","Science Fiction","1"
"1935","Suspense","4"
"1935","Western","20"
"1936","Action","13"
"1936","Adventure","4"
"1936","and Culture","17"
"1936","Arthouse","2"
"1936","Arts","17"
"1936","Comedy","27"
"1936","Drama","29"
"1936","Entertainment","17"
"1936","Horror","2"
"1936","Independently Distributed","1"
"1936","International","2"
"1936","Kids","5"
"1936","Military and War","4"
"1936","Romance","10"
"1936","Science Fiction","3"
"1936","Suspense","15"
"1936","Western","12"
"1937","Action","14"
"1937","Adventure","5"
"1937","and Culture","16"
"1937","Animation","1"
"1937","Arts","16"
"1937","Comedy","26"
"1937","Drama","27"
"1937","Entertainment","16"
"1937","Genre for Featured Categories","3"
"1937","Independently Distributed","5"
"1937","Kids","6"
"1937","Military and War","2"
"1937","Romance","2"
"1937","Science Fiction","4"
"1937","Sports","2"
"1937","Studio Specials","1"
"1937","Suspense","4"
"1937","Western","14"
"1938","Action","4"
"1938","Adventure","4"
"1938","and Culture","2"
"1938","Arts","2"
"1938","Comedy","15"
"1938","Documentary","4"
"1938","Drama","26"
"1938","Entertainment","2"
"1938","International","2"
"1938","Romance","5"
"1938","Suspense","7"
"1938","Western","6"
"1939","Action","15"
"1939","Adventure","11"
"1939","and Culture","9"
"1939","Animation","2"
"1939","Arts","9"
"1939","Comedy","26"
"1939","Documentary","1"
"1939","Drama","32"
"1939","Entertainment","9"
"1939","Genre for Featured Categories","1"
"1939","Horror","3"
"1939","Independently Distributed","1"
"1939","Kids","5"
"1939","Military and War","8"
"1939","Musicals & Performing Arts","1"
"1939","Romance","4"
"1939","Science Fiction","4"
"1939","Studio Specials","1"
"1939","Suspense","20"
"1939","Western","17"
"1940","3-6 Years","1"
"1940","Action","7"
"1940","Adventure","5"
"1940","and Culture","8"
"1940","Arthouse","4"
"1940","Arts","8"
"1940","Comedy","19"
"1940","Documentary","2"
"1940","Drama","35"
"1940","Entertainment","8"
"1940","Genre for Featured Categories","1"
"1940","Horror","2"
"1940","Independently Distributed","2"
"1940","International","4"
"1940","Military and War","1"
"1940","Romance","4"
"1940","Science Fiction","3"
"1940","Suspense","13"
"1940","Western","15"
"1941","Action","9"
"1941","Adventure","5"
"1941","and Culture","7"
"1941","Animation","2"
"1941","Arts","7"
"1941","Comedy","42"
"1941","Documentary","1"
"1941","Drama","29"
"1941","Entertainment","7"
"1941","Fantasy","3"
"1941","Horror","7"
"1941","Independently Distributed","1"
"1941","Kids","6"
"1941","Romance","5"
"1941","Suspense","13"
"1941","Western","14"
"1942","Action","8"
"1942","Adventure","7"
"1942","and Culture","9"
"1942","Arts","9"
"1942","Comedy","14"
"1942","Documentary","2"
"1942","Drama","18"
"1942","Entertainment","9"
"1942","Fantasy","4"
"1942","Genre for Featured Categories","1"
"1942","Horror","8"
"1942","Independently Distributed","2"
"1942","Military and War","6"
"1942","Romance","4"
"1942","Sports","1"
"1942","Suspense","16"
"1942","Western","18"
"1943","Action","17"
"1943","Adventure","11"
"1943","and Culture","11"
"1943","Arts","11"
"1943","Comedy","18"
"1943","Drama","32"
"1943","Entertainment","11"
"1943","Fantasy","4"
"1943","Horror","10"
"1943","Independently Distributed","1"
"1943","Kids","6"
"1943","Military and War","13"
"1943","None","2"
"1943","Romance","1"
"1943","Science Fiction","2"
"1943","Suspense","10"
"1943","Western","8"
"1944","Action","9"
"1944","Adventure","2"
"1944","and Culture","9"
"1944","Arts","9"
"1944","Comedy","6"
"1944","Drama","36"
"1944","Entertainment","9"
"1944","Fantasy","2"
"1944","Genre for Featured Categories","1"
"1944","Historical","4"
"1944","Horror","3"
"1944","Independently Distributed","2"
"1944","Kids","6"
"1944","Military and War","5"
"1944","Suspense","15"
"1944","Western","13"
"1945","Action","9"
"1945","Adventure","4"
"1945","and Culture","5"
"1945","Animation","1"
"1945","Arts","5"
"1945","Comedy","12"
"1945","Documentary","1"
"1945","Drama","20"
"1945","Entertainment","5"
"1945","Fantasy","1"
"1945","Genre for Featured Categories","2"
"1945","Horror","7"
"1945","Independently Distributed","1"
"1945","Military and War","6"
"1945","Romance","3"
"1945","Science Fiction","1"
"1945","Suspense","19"
"1945","Western","4"
"1946","Action","6"
"1946","Adventure","2"
"1946","and Culture","11"
"1946","Arts","11"
"1946","Comedy","6"
"1946","Drama","42"
"1946","Entertainment","11"
"1946","Fantasy","2"
"1946","Genre for Featured Categories","2"
"1946","Independently Distributed","2"
"1946","Kids","3"
"1946","Musicals & Performing Arts","1"
"1946","Romance","1"
"1946","Suspense","20"
"1946","Western","18"
"1947","Action","4"
"1947","Adventure","3"
"1947","and Culture","13"
"1947","Arts","13"
"1947","Comedy","11"
"1947","Drama","25"
"1947","Entertainment","13"
"1947","Fantasy","2"
"1947","Independently Distributed","3"
"1947","John Wayne Store","1"
"1947","Kids","2"
"1947","Romance","4"
"1947","Suspense","11"
"1947","Western","8"
"1948","Action","14"
"1948","Adventure","11"
"1948","and Culture","6"
"1948","Arts","6"
"1948","Comedy","14"
"1948","Drama","24"
"1948","Entertainment","6"
"1948","Horror","1"
"1948","Kids","1"
"1948","Romance","5"
"1948","Suspense","5"
"1948","Western","12"
"1949","Action","11"
"1949","Adventure","2"
"1949","and Culture","8"
"1949","Arts","8"
"1949","Comedy","16"
"1949","Drama","43"
"1949","Entertainment","8"
"1949","Genre for Featured Categories","1"
"1949","Kids","4"
"1949","Military and War","2"
"1949","Romance","4"
"1949","Science Fiction","2"
"1949","Studio Specials","1"
"1949","Suspense","5"
"1949","Western","3"
"1950","Action","9"
"1950","Adventure","9"
"1950","and Culture","7"
"1950","Arts","7"
"1950","Comedy","26"
"1950","Drama","42"
"1950","Entertainment","7"
"1950","Fantasy","1"
"1950","Historical","1"
"1950","Kids","8"
"1950","Military and War","2"
"1950","Romance","4"
"1950","Science Fiction","2"
"1950","Suspense","12"
"1950","Western","18"
"1951","Action","10"
"1951","Adventure","10"
"1951","and Culture","12"
"1951","Arts","12"
"1951","Comedy","22"
"1951","Documentary","2"
"1951","Drama","48"
"1951","Entertainment","12"
"1951","Genre for Featured Categories","1"
"1951","Horror","2"
"1951","Musicals & Performing Arts","1"
"1951","Romance","11"
"1951","Science Fiction","8"
"1951","Suspense","5"
"1951","Western","8"
"1952","Action","18"
"1952","Adventure","13"
"1952","and Culture","9"
"1952","Arts","9"
"1952","Comedy","24"
"1952","Drama","24"
"1952","Entertainment","9"
"1952","Genre for Featured Categories","1"
"1952","Independently Distributed","12"
"1952","Kids","4"
"1952","Romance","4"
"1952","Science Fiction","2"
"1952","Suspense","4"
"1952","Western","5"
"1953","Action","15"
"1953","Adventure","12"
"1953","and Culture","12"
"1953","Arts","12"
"1953","Comedy","18"
"1953","Documentary","2"
"1953","Drama","43"
"1953","Entertainment","12"
"1953","Genre for Featured Categories","2"
"1953","Horror","8"
"1953","Independently Distributed","1"
"1953","Kids","1"
"1953","Romance","9"
"1953","Science Fiction","8"
"1953","Sports","1"
"1953","Suspense","21"
"1953","Western","16"
"1954","Action","19"
"1954","Adventure","14"
"1954","and Culture","11"
"1954","Animation","1"
"1954","Arts","11"
"1954","Comedy","19"
"1954","Documentary","1"
"1954","Drama","50"
"1954","Entertainment","11"
"1954","Fully Loaded DVDs","1"
"1954","Genre for Featured Categories","3"
"1954","Horror","4"
"1954","Independently Distributed","1"
"1954","Kids","3"
"1954","Musicals & Performing Arts","2"
"1954","Romance","8"
"1954","Science Fiction","4"
"1954","Suspense","13"
"1954","Western","14"
"1955","Action","11"
"1955","Adventure","8"
"1955","and Culture","17"
"1955","Arts","17"
"1955","Comedy","21"
"1955","Documentary","5"
"1955","Drama","54"
"1955","Entertainment","17"
"1955","Fantasy","1"
"1955","Genre for Featured Categories","2"
"1955","Horror","6"
"1955","Independently Distributed","5"
"1955","International","1"
"1955","Kids","3"
"1955","Military and War","4"
"1955","Romance","11"
"1955","Science Fiction","3"
"1955","Suspense","20"
"1955","Western","10"
"1956","Action","24"
"1956","Adventure","14"
"1956","and Culture","9"
"1956","Arts","9"
"1956","Comedy","13"
"1956","Documentary","1"
"1956","Drama","41"
"1956","Entertainment","9"
"1956","Fantasy","2"
"1956","Genre for Featured Categories","1"
"1956","Historical","1"
"1956","Horror","12"
"1956","Independently Distributed","3"
"1956","Kids","6"
"1956","Military and War","6"
"1956","Romance","5"
"1956","Science Fiction","8"
"1956","Sports","2"
"1956","Suspense","16"
"1956","Western","24"
"1957","Action","7"
"1957","Adventure","5"
"1957","and Culture","10"
"1957","Arts","10"
"1957","Comedy","22"
"1957","Documentary","4"
"1957","Drama","40"
"1957","Entertainment","10"
"1957","Fantasy","4"
"1957","Genre for Featured Categories","2"
"1957","Horror","5"
"1957","Independently Distributed","2"
"1957","Kids","2"
"1957","Military and War","2"
"1957","Romance","2"
"1957","Science Fiction","5"
"1957","Sports","1"
"1957","Studio Specials","1"
"1957","Suspense","12"
"1957","Western","5"
"1958","Action","12"
"1958","Adventure","10"
"1958","and Culture","7"
"1958","Animation","1"
"1958","Arthouse","2"
"1958","Arts","7"
"1958","Comedy","16"
"1958","Documentary","3"
"1958","Drama","50"
"1958","Entertainment","7"
"1958","Fantasy","5"
"1958","Historical","1"
"1958","Horror","11"
"1958","Independently Distributed","2"
"1958","International","4"
"1958","Kids","2"
"1958","Military and War","2"
"1958","Romance","5"
"1958","Science Fiction","15"
"1958","Suspense","11"
"1958","Western","8"
"1959","Action","16"
"1959","Adventure","15"
"1959","and Culture","2"
"1959","Arts","2"
"1959","Comedy","9"
"1959","Criterion Collection","2"
"1959","Documentary","1"
"1959","Drama","40"
"1959","Entertainment","2"
"1959","Fantasy","2"
"1959","Genre for Featured Categories","3"
"1959","Horror","29"
"1959","International","1"
"1959","Military and War","3"
"1959","Romance","1"
"1959","Science Fiction","20"
"1959","Suspense","19"
"1959","Western","9"
"1960","Action","20"
"1960","Adventure","16"
"1960","and Culture","6"
"1960","Arthouse","2"
"1960","Arts","6"
"1960","Comedy","25"
"1960","Documentary","3"
"1960","Drama","57"
"1960","Entertainment","6"
"1960","Faith and Spirituality","1"
"1960","Genre for Featured Categories","1"
"1960","Horror","7"
"1960","Independently Distributed","1"
"1960","International","2"
"1960","Kids","5"
"1960","Military and War","4"
"1960","Romance","6"
"1960","Science Fiction","11"
"1960","Science Fiction & Fantasy","1"
"1960","Suspense","14"
"1960","Western","14"
"1961","Action","8"
"1961","Adventure","6"
"1961","and Culture","9"
"1961","Animation","1"
"1961","Arthouse","4"
"1961","Arts","9"
"1961","Comedy","25"
"1961","Documentary","2"
"1961","Drama","36"
"1961","Entertainment","9"
"1961","Fantasy","6"
"1961","Genre for Featured Categories","3"
"1961","Historical","2"
"1961","Horror","9"
"1961","Independently Distributed","1"
"1961","International","4"
"1961","Kids","7"
"1961","Romance","7"
"1961","Science Fiction","6"
"1961","Sports","3"
"1961","Suspense","12"
"1961","Western","7"
"1962","Action","25"
"1962","Adventure","18"
"1962","and Culture","10"
"1962","Arthouse","3"
"1962","Arts","10"
"1962","Comedy","28"
"1962","Drama","56"
"1962","Entertainment","10"
"1962","Fantasy","4"
"1962","Horror","10"
"1962","Independently Distributed","2"
"1962","International","3"
"1962","Kids","6"
"1962","Military and War","4"
"1962","Romance","7"
"1962","Science Fiction","4"
"1962","Sports","1"
"1962","Suspense","20"
"1962","Western","6"
"1963","Action","17"
"1963","Adventure","9"
"1963","and Culture","10"
"1963","Animation","1"
"1963","Arthouse","3"
"1963","Arts","10"
"1963","Comedy","29"
"1963","Drama","38"
"1963","Entertainment","10"
"1963","Fantasy","2"
"1963","Genre for Featured Categories","1"
"1963","Historical","2"
"1963","Horror","9"
"1963","International","3"
"1963","Kids","12"
"1963","MGM Home Entertainment","1"
"1963","Romance","1"
"1963","Science Fiction","4"
"1963","Suspense","14"
"1963","Western","6"
"1964","Action","28"
"1964","Adventure","12"
"1964","and Culture","10"
"1964","Animation","2"
"1964","Arthouse","2"
"1964","Arts","10"
"1964","Comedy","44"
"1964","Documentary","1"
"1964","Drama","44"
"1964","Entertainment","10"
"1964","Fantasy","5"
"1964","Horror","18"
"1964","Independently Distributed","1"
"1964","International","5"
"1964","Kids","2"
"1964","Military and War","4"
"1964","Romance","2"
"1964","Science Fiction","19"
"1964","Suspense","18"
"1964","Western","7"
"1965","Action","21"
"1965","Adventure","12"
"1965","and Culture","8"
"1965","Animation","1"
"1965","Anime","1"
"1965","Arthouse","4"
"1965","Arts","8"
"1965","Comedy","33"
"1965","Drama","49"
"1965","Entertainment","8"
"1965","Fantasy","1"
"1965","Historical","2"
"1965","Horror","11"
"1965","Independently Distributed","2"
"1965","International","2"
"1965","Kids","7"
"1965","Military and War","8"
"1965","Romance","4"
"1965","Science Fiction","8"
"1965","Sports","2"
"1965","Suspense","23"
"1965","Western","8"
"1965","Young Adult Audience","1"
"1966","Action","15"
"1966","Adventure","15"
"1966","and Culture","7"
"1966","Animation","1"
"1966","Arthouse","2"
"1966","Arts","7"
"1966","Comedy","39"
"1966","Documentary","1"
"1966","Drama","32"
"1966","Entertainment","7"
"1966","Fantasy","2"
"1966","Genre for Featured Categories","2"
"1966","Horror","6"
"1966","International","1"
"1966","Kids","8"
"1966","Military and War","6"
"1966","Romance","3"
"1966","Science Fiction","11"
"1966","Suspense","10"
"1966","Western","20"
"1967","Action","22"
"1967","Adventure","16"
"1967","and Culture","11"
"1967","Anime","2"
"1967","Arthouse","5"
"1967","Arts","11"
"1967","Comedy","34"
"1967","Documentary","2"
"1967","Drama","60"
"1967","Entertainment","11"
"1967","Fantasy","7"
"1967","Historical","2"
"1967","Horror","7"
"1967","International","8"
"1967","Kids","7"
"1967","Military and War","2"
"1967","Romance","10"
"1967","Science Fiction","10"
"1967","Suspense","19"
"1967","Western","16"
"1967","Young Adult Audience","1"
"1968","Action","8"
"1968","Adventure","11"
"1968","and Culture","9"
"1968","Arthouse","1"
"1968","Arts","9"
"1968","Comedy","26"
"1968","Cult Movies","2"
"1968","Documentary","2"
"1968","Drama","47"
"1968","Entertainment","9"
"1968","Fantasy","8"
"1968","Genre for Featured Categories","1"
"1968","Horror","10"
"1968","International","2"
"1968","Kids","6"
"1968","Romance","3"
"1968","Science Fiction","9"
"1968","Suspense","16"
"1968","Western","19"
"1969","Action","29"
"1969","Adventure","20"
"1969","and Culture","6"
"1969","Animation","2"
"1969","Arts","6"
"1969","Comedy","25"
"1969","Drama","55"
"1969","Entertainment","6"
"1969","Genre for Featured Categories","5"
"1969","Historical","1"
"1969","Horror","12"
"1969","Independently Distributed","1"
"1969","International","1"
"1969","Kids","5"
"1969","Military and War","2"
"1969","Romance","3"
"1969","Science Fiction","15"
"1969","Suspense","10"
"1969","Western","21"
"1970","Action","26"
"1970","Adventure","16"
"1970","and Culture","11"
"1970","Arts","11"
"1970","Comedy","39"
"1970","Documentary","5"
"1970","Drama","58"
"1970","Entertainment","11"
"1970","Fantasy","5"
"1970","Genre for Featured Categories","5"
"1970","Historical","1"
"1970","Horror","13"
"1970","Independently Distributed","3"
"1970","Indie & Alternative","1"
"1970","International","2"
"1970","Kids","6"
"1970","LGBTQ","2"
"1970","Military and War","2"
"1970","Romance","7"
"1970","Science Fiction","9"
"1970","Studio Specials","2"
"1970","Suspense","11"
"1970","Western","16"
"1971","Action","18"
"1971","Adventure","21"
"1971","and Culture","3"
"1971","Arts","3"
"1971","Comedy","29"
"1971","Documentary","5"
"1971","Drama","76"
"1971","Entertainment","3"
"1971","Fantasy","2"
"1971","Genre for Featured Categories","1"
"1971","Horror","20"
"1971","Independently Distributed","3"
"1971","Kids","4"
"1971","Military and War","2"
"1971","Romance","1"
"1971","Science Fiction","9"
"1971","Suspense","35"
"1971","Western","18"
"1972","Action","36"
"1972","Adventure","26"
"1972","and Culture","7"
"1972","Animation","3"
"1972","Arts","7"
"1972","Comedy","31"
"1972","Cult Movies","1"
"1972","Documentary","1"
"1972","Drama","59"
"1972","Entertainment","7"
"1972","Fantasy","2"
"1972","Genre for Featured Categories","4"
"1972","Historical","1"
"1972","Horror","15"
"1972","Independently Distributed","6"
"1972","International","3"
"1972","Kids","9"
"1972","Musicals & Performing Arts","1"
"1972","Romance","6"
"1972","Science Fiction","5"
"1972","Sports","2"
"1972","Suspense","22"
"1972","Western","20"
"1973","Action","37"
"1973","Adventure","18"
"1973","and Culture","10"
"1973","Animation","3"
"1973","Arthouse","2"
"1973","Arts","10"
"1973","Comedy","35"
"1973","Documentary","3"
"1973","Drama","91"
"1973","Entertainment","10"
"1973","Fantasy","5"
"1973","Genre for Featured Categories","5"
"1973","Horror","23"
"1973","Independently Distributed","1"
"1973","International","3"
"1973","Kids","10"
"1973","Military and War","1"
"1973","Romance","2"
"1973","Science Fiction","7"
"1973","Suspense","47"
"1973","Western","18"
"1974","Action","39"
"1974","Adventure","23"
"1974","and Culture","7"
"1974","Animation","1"
"1974","Arthouse","2"
"1974","Arts","7"
"1974","Comedy","32"
"1974","Documentary","5"
"1974","Drama","78"
"1974","Entertainment","7"
"1974","Fantasy","3"
"1974","Genre for Featured Categories","1"
"1974","Horror","24"
"1974","Independently Distributed","2"
"1974","Kids","12"
"1974","Military and War","1"
"1974","Romance","6"
"1974","Science Fiction","11"
"1974","Studio Specials","1"
"1974","Suspense","30"
"1974","Western","6"
"1975","Action","37"
"1975","Adventure","26"
"1975","and Culture","4"
"1975","Arts","4"
"1975","Comedy","19"
"1975","Documentary","2"
"1975","Drama","42"
"1975","Entertainment","4"
"1975","Fantasy","2"
"1975","Fully Loaded DVDs","1"
"1975","Genre for Featured Categories","4"
"1975","Horror","13"
"1975","Independently Distributed","4"
"1975","International","3"
"1975","Kids","3"
"1975","Military and War","2"
"1975","Musicals & Performing Arts","1"
"1975","Science Fiction","11"
"1975","Sports","2"
"1975","Suspense","29"
"1975","Western","6"
"1976","Action","25"
"1976","Adventure","12"
"1976","and Culture","4"
"1976","Animation","1"
"1976","Arthouse","1"
"1976","Arts","4"
"1976","Comedy","35"
"1976","Documentary","9"
"1976","Drama","48"
"1976","Entertainment","4"
"1976","Genre for Featured Categories","2"
"1976","Horror","10"
"1976","Independently Distributed","4"
"1976","Kids","4"
"1976","MGM Home Entertainment","1"
"1976","Romance","6"
"1976","Science Fiction","9"
"1976","Sports","1"
"1976","Suspense","21"
"1976","Western","15"
"1977","Action","23"
"1977","Adventure","20"
"1977","and Culture","2"
"1977","Animation","1"
"1977","Arthouse","1"
"1977","Arts","2"
"1977","Comedy","29"
"1977","Documentary","3"
"1977","Drama","43"
"1977","Entertainment","2"
"1977","Fantasy","6"
"1977","Genre for Featured Categories","7"
"1977","Historical","1"
"1977","Horror","16"
"1977","Independently Distributed","1"
"1977","International","2"
"1977","Kids","5"
"1977","Military and War","1"
"1977","Romance","1"
"1977","Science Fiction","7"
"1977","Science Fiction & Fantasy","1"
"1977","Studio Specials","1"
"1977","Suspense","17"
"1977","Young Adult Audience","2"
"1978","Action","27"
"1978","Adventure","11"
"1978","and Culture","5"
"1978","Arts","5"
"1978","Comedy","29"
"1978","Drama","39"
"1978","Entertainment","5"
"1978","Fantasy","3"
"1978","Genre for Featured Categories","2"
"1978","Historical","1"
"1978","Horror","13"
"1978","Independently Distributed","5"
"1978","Kids","8"
"1978","Romance","3"
"1978","Science Fiction","10"
"1978","Sports","2"
"1978","Suspense","18"
"1978","Western","4"
"1979","Action","29"
"1979","Adventure","17"
"1979","Animation","2"
"1979","Anime","1"
"1979","Comedy","44"
"1979","Drama","58"
"1979","Genre for Featured Categories","5"
"1979","Horror","12"
"1979","Independently Distributed","3"
"1979","International","1"
"1979","Kids","12"
"1979","Military and War","3"
"1979","Paramount Home Entertainment","1"
"1979","Romance","7"
"1979","Science Fiction","18"
"1979","Science Fiction & Fantasy","1"
"1979","Sports","6"
"1979","Suspense","22"
"1979","Western","2"
"1980","Action","22"
"1980","Adventure","17"
"1980","and Culture","7"
"1980","Animation","2"
"1980","Art House & International","1"
"1980","Arthouse","4"
"1980","Arts","7"
"1980","Comedy","60"
"1980","Drama","65"
"1980","Entertainment","7"
"1980","Fantasy","5"
"1980","Genre for Featured Categories","7"
"1980","Historical","4"
"1980","Horror","24"
"1980","Independently Distributed","2"
"1980","Kids","6"
"1980","Military and War","7"
"1980","Romance","5"
"1980","Science Fiction","11"
"1980","Sports","2"
"1980","Suspense","29"
"1980","Western","10"
"1981","Action","29"
"1981","Adventure","26"
"1981","and Culture","5"
"1981","Animation","1"
"1981","Arthouse","1"
"1981","Arts","5"
"1981","Comedy","40"
"1981","Documentary","1"
"1981","Drama","64"
"1981","Entertainment","5"
"1981","Fantasy","11"
"1981","Genre for Featured Categories","3"
"1981","Horror","37"
"1981","Independently Distributed","1"
"1981","Kids","3"
"1981","Military and War","2"
"1981","Romance","4"
"1981","Science Fiction","21"
"1981","Suspense","36"
"1981","Western","1"
"1981","Young Adult Audience","6"
"1982","Action","26"
"1982","Adventure","20"
"1982","and Culture","5"
"1982","Animation","5"
"1982","Arthouse","2"
"1982","Arts","5"
"1982","Blu-ray","1"
"1982","Comedy","34"
"1982","Documentary","3"
"1982","Drama","55"
"1982","Entertainment","5"
"1982","Fantasy","4"
