0,amazon.com/dp/B002DJM9R8,The Wizard,B002DJM9R8,1989,1h 40min,Todd Holland,,"Luke Edwards,Vince Trankina,Ray Bickel","Comedy,Young Adult Audience,Kids","1,010",Prime Video (streaming online video),$13.99, 4.7 
11,amazon.com/dp/B00004R8UL,Adventures from the Book of Virtues: Respect [VHS],B00004R8UL,"January 1, 2000",,,,,Genre for Featured Categories,40,VHS Tape,$49.95,4.2 
12,amazon.com/dp/B00005LO5Y,King of the Cage - Wet & Wild,B00005LO5Y,"April 24, 2001",2 hours,,,"Alex Andrade, Paul Buentello, Joe Hurley, Yusuke Imamura, Charlie Kohler",Genre for Featured Categories,2,DVD,$3.30,4.5 
13,amazon.com/dp/B000ND91OA,Home Improvement: Season 6,B000ND91OA,"May 15, 2007",9 hours and 21 minutes,,,"Tim Allen, Patricia Richardson, Jonathan Taylor Thomas, Richard Karn, Paul Parducci",Boxed Sets,427,DVD,$14.20,4.8 
14,amazon.com/dp/6304039549,Old Man & The Sea [VHS],6304039549,"June 18, 1996",1 hour and 35 minutes,"John Sturges, Fred Zinnemann, Henry King",,"Spencer Tracy, Felipe Pazos, Harry Bellaver, Don Diamond, Don Blackman",Genre for Featured Categories,560,VHS Tape,$9.69,4.6 
15,amazon.com/dp/B00008F23C,Star Trek V [VHS],B00008F23C,"June 24, 1993",,,,,Science Fiction & Fantasy,1,VHS Tape,$69.00,4.4 
16,amazon.com/dp/B00008DDX1,Harold and the Purple Crayon... and More Harold Stories (Scholastic Video Collection),B00008DDX1,"March 25, 2003",50 minutes,,,Crockett Johnson,Genre for Featured Categories,17,DVD,$11.97,4.4 
17,amazon.com/dp/B00008DDXK,One Crazy Summer,B00008DDXK,"April 1, 2003",1 hour and 33 minutes,Savage Steve Holland,Savage Steve Holland,"John Cusack, Demi Moore, Linda Warren, Joel Murray, Grenville Cuyler",Studio Specials,1,DVD,$8.99,4.7 
18,amazon.com/dp/B002DO5D5I,Callanetics AM/PM - Amazon.com Exclusive DVD,B002DO5D5I,,,,,,TV,13,,,3.5 
19,amazon.com/dp/B006WY0VRU,Curiosity With Stephen Hawking,B006WY0VRU,"May 1, 2012",3 hours and 40 minutes,Darlow Smithson,,Stephen Hawking,TV,58,DVD,$6.11,4.2 
20,amazon.com/dp/B0049BNG70,The Way Home,B0049BNG70,,1h 30min,Lance W. Dreesen,,"Lori Beth Edgeman,Dean Cain",Drama,757,Prime Video (streaming online video),, 4.7 
21,amazon.com/dp/B000064913,Gilad's Weight Loss & Toning Program [VHS],B000064913,,,,,,Genre for Featured Categories,1,VHS Tape,$14.90,5.0 
22,amazon.com/dp/B00004ROI0,One Flew Over the Cuckoo's Nest [VHS],B00004ROI0,,2 hours and 13 minutes,Milos Forman,"Bo Goldman, Dale Wasserman, Ken Kesey, Lawrence Hauben","Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco, Dean R. Brooks",Art House & International,4,VHS Tape,$2.39,4.7 
23,amazon.com/dp/B0038GQRLO,American Radical: Trials of Norman Finkelstein,B0038GQRLO,"May 18, 2010",1 hour and 29 minutes,"David Ridgen, Nicolas Rossier",,"Norman Finkelstein, Noam Chomsky, Alan Dershowitz",Independently Distributed,52,DVD,$24.87,4.1 
24,amazon.com/dp/B0000Z0I6Q,Midsomer Murders,B0000Z0I6Q,,1 hour and 30 minutes,,Caroline Graham,"John Nettles, Jane Wymark, Barry Jackson, Jason Hughes, Laura Howard",Genre for Featured Categories,234,DVD,$11.92,4.4 
25,amazon.com/dp/B0000B0JIR,Gladiators Seven,B0000B0JIR,"May 27, 2003",1 hour and 32 minutes,Pedro Lazaga,"Alberto De Martino, Bruno Corbucci, Giovanni Grimaldi, Italo Zingarelli, Sandro Continenza","Richard Harrison, Loredana Nusciak, Livio Lorenzon, Gérard Tichy, Edoardo Toniolo",Independently Distributed,29,DVD,$2.95,3.2 
26,amazon.com/dp/B003TH41H4,Legend of the Seeker,B003TH41H4,2009,,,,"Craig Horner,Bridget Regan,Bruce Spence",Adventure,"2,044",Prime Video (streaming online video),, 4.8 
27,amazon.com/dp/B004IZRDQC,Spain: On the Road Again,B004IZRDQC,"January 25, 2011",11 hours and 30 minutes,,,Spain-On the Road Again,Boxed Sets,87,DVD,$12.92,4.5 
28,amazon.com/dp/B00019HOPO,Prelude to a Kiss [Region 2],B00019HOPO,,1 hour and 45 minutes,Norman René,Craig Lucas,"Meg Ryan, Alec Baldwin, Kathy Bates, Ned Beatty, Patty Duke",Genre for Featured Categories,97,DVD,,
29,amazon.com/dp/B000UPMZ30,I'll Cry Tomorrow,B000UPMZ30,"November 6, 2007",1 hour and 57 minutes,,,Susan Hayward,Studio Specials,144,DVD,$40.00,
30,amazon.com/dp/B00005QJHU,Jack the Ripper,B00005QJHU,"September 19, 2001",1 hour and 27 minutes,Jesús Franco,"Jean-Claude Carrière, Jesús Franco","Klaus Kinski, Josephine Chaplin, Andreas Mannkopff, Herbert Fux, Lina Romay",Genre for Featured Categories,73,DVD,$2.74,3.5 
31,amazon.com/dp/B00005QJHW,Boot Hill,B00005QJHW,"June 27, 2014",1 hour and 27 minutes,Giuseppe Colizzi,,"Terrence Hill, Bud Spencer, Woody Strode, Victor Buono",Genre for Featured Categories,203,DVD,$7.99,
32,amazon.com/dp/6305538387,Don't Answer the Phone!,6305538387,"June 12, 2000",1 hour and 25 minutes,Robert Hammer,"Michael Curtis, Michael D. Castle, Robert Hammer","James Westmoreland, Ben Frank, Flo Lawrence, Nicholas Worth, Denise Galik",Genre for Featured Categories,71,DVD,$12.59,3.8 
33,amazon.com/dp/B000PUNVWE,Megadeth: That One Night - Live in Buenos Aires,B000PUNVWE,2005,1h 35min,Egami Media,,Megadeth,Music Videos and Concerts,1,Prime Video (streaming online video),, 1 
34,amazon.com/dp/B000NA6C72,Cruising Catalina and the San Clemente Islands,B000NA6C72,"April 1, 2008",1 hour,,,Catalina &amp; The San Clemente Islands,Genre for Featured Categories,2,DVD,$37.44,
35,amazon.com/dp/B0002V7TZ6,Gone with the Wind (Four-Disc Collector's Edition),B0002V7TZ6,"November 9, 2004",3 hours and 58 minutes,"Victor Fleming, Sam Wood, George Cukor",,"Clark Gable, Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes",Studio Specials,13,DVD,,
36,amazon.com/dp/B0032JF6WI,Fuel,B0032JF6WI,2009,1h 35min,Oktay Ortabasi,,"Michael Esparza,C. Thomas Howell",Drama,33,Prime Video (streaming online video),, 2.4 
37,amazon.com/dp/B000Y5CHIE,The Last of the Mohicans: Director’s Definitive Cut [Blu-ray],B000Y5CHIE,"October 5, 2010",1 hour and 52 minutes,Michael Mann,"Christopher Crowe, Daniel Moore, James Fenimore Cooper, John L. Balderston, Michael Mann","Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig, Jodhi May",Blu-ray,816,Blu-ray,,4.7 
38,amazon.com/dp/B0036EH3X4,Lost: The Complete Sixth and Final Season [Blu-ray],B0036EH3X4,"August 24, 2010",13 hours and 22 minutes,,"Damon Lindelof, J.J. Abrams, Jeffrey Lieber","Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly, Terry O'Quinn",Blu-ray,2,Blu-ray,$15.63,4.7 
39,amazon.com/dp/B00000I1M0,Charles Bronson: Cabo Blanco/U.S. Marshal,B00000I1M0,"December 15, 1998",1 hour and 52 minutes,,,"Bronson, Charles",Genre for Featured Categories,10,DVD,$19.99,
40,amazon.com/dp/B00006LI4S,David Gilmour in Concert - Live at Robert Wyatt's Meltdown,B00006LI4S,"November 5, 2002",2 hours and 11 minutes,David Mallet,,"Michael Kamen, Chucho Merchán, Dick Parry, Robert Wyatt, Caroline Dale",Rock,545,DVD,,4.6 
41,amazon.com/dp/B000AQ69S6,Season of the Witch/There's Always Vanilla,B000AQ69S6,"October 18, 2005",2 hours and 10 minutes,George Romero,,"Carter, Charlotte, Creagan, Linda, Fisher, Neil, Hinzman, S. William, Laine, Raymond",Science Fiction & Fantasy,96,DVD,$27.95,3.4 
42,amazon.com/dp/B000ERVJLS,The 4400 - The Complete Second Season,B000ERVJLS,"May 23, 2006",9 hours and 20 minutes,"Douglas Petrie, John Behring, Leslie Libman, Michael W. Watkins, Nick Gomez",Craig Sweeny,"Joel Gretsch, Jacqueline McKenzie, Mahershala Ali, Laura Allen, Patrick John Flueger",Paramount Home Entertainment,214,DVD,$8.24,4.5 
43,amazon.com/dp/B005OAEWWS,Hollywood Goes to War,B005OAEWWS,"November 22, 2011",24 hours and 5 minutes,"John Ford, William Wyler",,"Ronald Reagan, Katherine Hepburn, Lucile Ball, Lloyd Bridges, Clark Gable",Genre for Featured Categories,6,DVD,$17.78,4.1 
44,amazon.com/dp/1929851006,Never Be Lied To Again [VHS],1929851006,"February 1, 1999",1 hour and 30 minutes,"David J. Lieberman, Ph.D.",,,Genre for Featured Categories,3,VHS Tape,$24.98,4.5 
45,amazon.com/dp/6304749023,Judy Garland - Judy Garland & Friends [VHS],6304749023,"August 22, 1995",54 minutes,,,"Judy Garland, Liza Minnelli, Barbra Streisand, Ethel Merman",Genre for Featured Categories,2,VHS Tape,$3.88,4.0 
46,amazon.com/dp/B0006SSQXY,"Samurai Champloo, Volume 2 (Episodes 5-8)",B0006SSQXY,"March 29, 2005",24 minutes,"Akira Yoshimura, Hirotaka Endo, Kazuto Nakazawa, Kei Tsunematsu, Masato Miyoshi",,"Kazuya Nakai, Ginpei Sato, Ayako Kawasumi, Steve Blum, Kirk Thornton",Fully Loaded DVDs,16,DVD,$14.11,4.6 
47,amazon.com/dp/B00810KZ24,Playing Mona Lisa,B00810KZ24,2000,1h 36min,Matthew Huffman,,"Alicia Witt,Harvey Fierstein,Brooke Langton",Comedy,27,Prime Video (streaming online video),, 4.3 
48,amazon.com/dp/B000929VA4,Rahxephon - Complete Collection,B000929VA4,"May 17, 2005",10 hours and 50 minutes,"Akitoshi Yokoyama, Ikurô Satô, Masahiro Andô, Mitsuo Iso, Susumu Kudo",,"Jason Douglas, Hiro Shimono, Aya Hisakawa, Fumioki, Dai Matsumoto",Science Fiction & Fantasy,80,DVD,$79.99,4.0 
49,amazon.com/dp/B000OEGDNK,Gone Dark (The Limit),B000OEGDNK,2003,1h 22min,Lewin Webb,,"Lauren Bacall,Claire Forlani,Henry Czerny","Drama,Suspense",22,Prime Video (streaming online video),$4.99, 3.4 
50,amazon.com/dp/B0015ESZBQ,"Lee, Pinky Show - Volume 1",B0015ESZBQ,"March 25, 2008",1 hour and 15 minutes,,,"Pinky Lee, Jimmy Brown, Molly Bee",Genre for Featured Categories,10,DVD,$5.99,
51,amazon.com/dp/B0009PVZBO,The Gumball Rally,B0009PVZBO,"August 30, 2005",1 hour and 47 minutes,Chuck Bail,"Leon Capetanos, Chuck Bail","Michael Sarrazin, Norman Burton, Gary Busey, John Durren, Susan Flannery",Genre for Featured Categories,1,DVD,$19.99,4.6 
52,amazon.com/dp/B000AP055U,Deadly Companions,B000AP055U,"August 4, 2005",,,,,Genre for Featured Categories,130,DVD,$5.87,4.1 
53,amazon.com/dp/B00077BPGO,Million Dollar Duck,B00077BPGO,"April 12, 2005",1 hour and 33 minutes,Vincent McEveety,"Screenplay By Roswell Rogers, Based On A Story By Ted Key","Dean Jones, Sandy Duncan, Joe Flynn, Tony Roberts, James Gregory",Walt Disney Studios Home Entertainment,274,DVD,$5.90,4.7 
54,amazon.com/dp/B0041GBSAU,The Lost Skeleton Returns Again,B0041GBSAU,2010,1h 32min,Larry Blamire,,"H.M. Wynant,Frank Dietz,Christine Romeo",Horror,208,Prime Video (streaming online video),$8.99, 4.4 
55,amazon.com/dp/B00009VTX8,The Quick and the Dead (Superbit Collection),B00009VTX8,"August 5, 2003",1 hour and 45 minutes,Sam Raimi,,"Sharon Stone, Gene Hackman, Russell Crowe, Leonardo Di Caprio, Roberts Blossom",Studio Specials,1,DVD,$14.99,4.6 
56,amazon.com/dp/B00199PP7Y,"Ballroom Basics, Vol. 2: Waltz",B00199PP7Y,"August 5, 2008",50 minutes,,,Artist Not Provided,Genre for Featured Categories,2,DVD,$14.95,3.5 
57,amazon.com/dp/B00000ILFL,Monkey Magic: Duel With Prince Nata (Epi. 4-5) [VHS],B00000ILFL,"May 25, 1999",45 minutes,,Ch'eng-En Wu,"Sam Vincent, Richard Ian Cox, Paul Dobson, Kathleen Barr, Michael Dobson",Genre for Featured Categories,1,VHS Tape,$39.95,5.0 
58,amazon.com/dp/6305488126,When Justice Fails [VHS],6305488126,"September 7, 1999",1 hour and 30 minutes,Allan A. Goldstein,,"Jeff Fahey, Carl Marotte, Marlee Matlin, Charles Edwin Powell, Sean Milliken",Genre for Featured Categories,71,VHS Tape,$3.00,3.2 
59,amazon.com/dp/6305263299,Nosferatu Phantom der Nacht/German [VHS],6305263299,"January 19, 1999",1 hour and 47 minutes,,,"Kinski, Adjani",Art House & International,433,VHS Tape,$4.70,4.6 
60,amazon.com/dp/B00006JE7M,Hamtaro - Hamtaro and the Ham-Hams [VHS],B00006JE7M,"October 15, 2002",1 hour and 15 minutes,Osamu Nabeshima,"Fumihiko Shimo, Kôji Miura, Michiru Shimada, Miho Maruo, Ritsuko Kawai","Chris Kalhoon, Jillian Michaels, Daniella Evangelista, Don Brown, Caroline Chan",Genre for Featured Categories,5,VHS Tape,$1.26,4.7 
61,amazon.com/dp/B007KYQIEQ,Kate & Leopold,B007KYQIEQ,2001,1h 58min,James Mangold,,"Meg Ryan,Hugh Jackman,Liev Schreiber","Science Fiction,Comedy,Romance,Drama","3,023",Prime Video (streaming online video),$9.99, 4.6 
62,amazon.com/dp/B000065NBX,Mooch Goes to Hollywood [VHS],B000065NBX,"February 23, 1999",51 minutes,Richard Erdman,"Jerry Devine, Jim Backus","Vincent Price, James Darren, Jill St. John, Jim Backus, Kim Hamilton",Genre for Featured Categories,7,VHS Tape,$4.99,4.2 
63,amazon.com/dp/B0007GP7UK,Bellydance Performance Ensemble with Suhaila,B0007GP7UK,"March 29, 2005",45 minutes,,,Suhaila Salimpour,Genre for Featured Categories,22,DVD,$4.98,3.6 
64,amazon.com/dp/B000089SGH,Cruising America's Waterways: New York State's Finger Lakes,B000089SGH,"September 16, 2008",1 hour,"Marquisee, Ronald S.",,,Genre for Featured Categories,1,DVD,$4.95,1.0 
65,amazon.com/dp/6302917298,Rigoletto Highlights [VHS],6302917298,"October 12, 1993",2 hours and 8 minutes,Jean-Pierre Ponnelle,"Francesco Maria Piave, Victor Hugo","Ingvar Wixell, Edita Gruberova, Luciano Pavarotti, Ferruccio Furlanetto, Victoria Vergara",Genre for Featured Categories,304,VHS Tape,$3.50,4.6 
66,amazon.com/dp/B00005Y6Z7,Glen Campbell - In Concert,B00005Y6Z7,"March 12, 2002",1 hour and 1 minute,Stanley Dorfman,,Glen Campbell,Genre for Featured Categories,99,DVD,$348.99,4.5 
67,amazon.com/dp/6304192231,Johnny 100 Pesos [VHS],6304192231,"October 14, 1997",1 hour and 30 minutes,Gustavo Graef Marino,"Gerardo Cáceres, Gustavo Graef Marino","Armando Araiza, Patricia Rivera, Willy Semler, Aldo Parodi, Rodolfo Bravo",Art House & International,3,VHS Tape,$69.00,4.0 
68,amazon.com/dp/B00388PK1A,The Wizard of Oz (70th Anniversary Edition) [Blu-ray],B00388PK1A,"August 24, 2010",1 hour and 41 minutes,Various,,Various,Blu-ray,4,Blu-ray,$39.94,
69,amazon.com/dp/B002MZZTH0,Hair Art Designs: Basic Tools & Techniques,B002MZZTH0,"August 27, 2009",1 hour and 30 minutes,Ronnie Mac,Ronnie Mac,Ronnie Mac,MOD CreateSpace Video,2,DVD,$29.95,4.4 
70,amazon.com/dp/B000GOTESO,Cobra (1986),B000GOTESO,1986,1h 27min,George P. Cosmatos,,"Sylvester Stallone,Brigitte Nielsen,Reni Santoni","Action,Adventure","2,196",Prime Video (streaming online video),$9.99, 4.6 
71,amazon.com/dp/B003AOAXGO,Crafted Over Time,B003AOAXGO,"March 2, 2010",1 hour and 28 minutes,Patrick Rosenkranz,,,Genre for Featured Categories,1,DVD,$19.95,5.0 
72,amazon.com/dp/B003V19CL8,Asylum of the Damned,B003V19CL8,"June 29, 2010",1 hour and 28 minutes,,,"Bruce Payne, Matt Stasi, Tracy Scoggins",Genre for Featured Categories,11,DVD,$5.10,2.5 
73,amazon.com/dp/B002V6SDV4,"Little Girl, BigTease (1975)",B002V6SDV4,2007,1h 20min,Robert Mitrotti,,"Rebecca Brooks,Jody Ray,Robert Furey","Action,Drama",2,Prime Video (streaming online video),$7.99, 3 
74,amazon.com/dp/6300217620,Hansel and Gretel - Metropolitan Opera [VHS],6300217620,"December 22, 1992",1 hour and 44 minutes,Kirk Browning,Adelheid Wette,"Frederica von Stade, Judith Blegen, Jean Kraft, Michael Devlin, Rosalind Elias",Genre for Featured Categories,76,VHS Tape,,4.6 
75,amazon.com/dp/B003F29D1C,Edward Scissorhands,B003F29D1C,1990,1h 44min,Tim Burton,,"Johnny Depp,Winona Ryder,Dianne Wiest","Drama,Fantasy,Romance","4,676",Prime Video (streaming online video),$9.99, 4.8 
76,amazon.com/dp/B0002M5U5Q,"AND1 Mixtape, Vol. 7",B0002M5U5Q,"August 31, 2004",47 minutes,,,"Williams, Jason",Genre for Featured Categories,13,DVD,$17.99,3.9 
77,amazon.com/dp/6302507227,Round Trip to Heaven [VHS],6302507227,"May 23, 1995",1 hour and 37 minutes,Alan Roberts,"Shuki Levy, Winston Richard","Ray Sharkey, Earl Finn, Frank Torres, Gunter Simon, Michael Fosberg",Genre for Featured Categories,4,VHS Tape,$15.95,3.0 
78,amazon.com/dp/B000OY9VEI,We Must Become the Change We Want to See,B000OY9VEI,"May 1, 2007",,,,The Sound of Animals Fighting,Genre for Featured Categories,8,DVD,$20.49,5.0 
79,amazon.com/dp/B001CEDJJM,"Clawhammer Banjo from Scratch, Volume 1 and 2",B001CEDJJM,"July 13, 2010",1 hour and 57 minutes,Dan Levenson,,Dan Levenson,Genre for Featured Categories,13,DVD,$29.98,3.7 
80,amazon.com/dp/B001AZHW0A,Made of Honor (+ BD Live) [Blu-ray],B001AZHW0A,"September 16, 2008",1 hour and 41 minutes,"Paul Weiland, Paul Weiland",,"Patrick Dempsey, Kadeem Hardison, Kathleen Quinlan, Sydney Pollack, Kevin McKidd",Blu-ray,1,Blu-ray,,4.7 
81,amazon.com/dp/B00846TRHY,Machine Gun Preacher,B00846TRHY,2011,2h 8min,Marc Forster,,"Gerard Butler,Michelle Monaghan,Kathy Baker","Action,Drama","2,140",Prime Video (streaming online video),$9.99, 4.5 
